AGI	WT-1_count	WT-2_count	#5-1_count	#5-2_count	WT-1_FPKM	WT-2_FPKM	#5-1_FPKM	#5-2_FPKM	WT_mean-FPKM	#5_mean-FPKM	log2 (FC)	P Value	FDR	Name	Annotation
AT3G01190	1	0	9	45	0.035	0	0.284	1.453	0.0175	0.8685	5.633099022	0.0025251	0.032471307	AT3G01190	Peroxidase superfamily protein
AT3G01200	367	396	552	625	11.691	11.985	15.698	18.196	11.838	16.947	0.517604545	0.137912671	0.523463331	RP2	PPDK regulatory protein 2
AT3G01210	303	287	246	288	11.754	10.547	8.877	10.293	11.1505	9.585	-0.218258067	0.039715299	0.243960898	AT3G01210	RNA-binding (RRM/RBD/RNP motifs) family protein
AT3G01220	44	55	59	60	1.511	1.794	1.809	1.883	1.6525	1.846	0.159752281	0.871952712	0.977522627	HB20	homeobox protein 20
AT3G01230	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT3G01230	splicing regulatory glutamine/lysine-rich-like protein
AT3G01240	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT3G01240	splicing regulatory glutamine/lysine-rich-like protein
AT3G01250	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT3G01250	uncharacterized protein
AT3G01260	1	0	0	3	0.028	0	0	0.077	0.014	0.0385	1.459431619	0.739944929	0.96166008	AT3G01260	Galactose mutarotase-like superfamily protein
AT3G01270	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT3G01270	Pectate lyase family protein
AT3G01280	2506	2462	3135	3086	80.569	75.213	90.002	90.695	77.891	90.3485	0.214044009	0.90862627	0.98553254	VDAC1	voltage dependent anion channel 1
AT3G01290	3392	4694	6826	4876	97.86	128.645	175.781	128.545	113.2525	152.163	0.426074698	0.347289921	0.812105252	HIR2	SPFH/Band 7/PHB domain-containing membrane-associated protein family
AT3G01300	249	266	331	312	5.564	5.647	6.603	6.371	5.6055	6.487	0.210708374	0.933045863	0.986425089	AT3G01300	Protein kinase superfamily protein
AT3G01310	2151	2948	4224	4228	27.717	36.068	48.537	49.788	31.8925	49.1625	0.624341089	0.018109895	0.141768147	AT3G01310	Phosphoglycerate mutase-like family protein
AT3G01311	0	0	2	0	0	0	0.092	0	0.001	0.046	5.523561956	0.667883855	0.958433792	AT3G01311	actin cross-linking protein, putative (DUF569)
AT3G01319	1	2	5	4	0.286	0.611	1.607	1.399	0.4485	1.503	1.744665119	0.476123644	0.902852185	AT3G01319	uncharacterized protein
AT3G01320	667	626	856	860	6.465	5.665	7.326	7.49	6.065	7.408	0.288576453	0.711668144	0.958433792	SNL1	SIN3-like 1
AT3G01322	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT3G01322	ECA1-like gametogenesis related family protein
AT3G01323	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT3G01323	ECA1-like gametogenesis related family protein
AT3G01324	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT3G01324	ECA1-like gametogenesis related family protein
AT3G01325	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT3G01325	uncharacterized protein
AT3G01326	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT3G01326	ECA1 gametogenesis related family protein
AT3G01327	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT3G01327	ECA1-like gametogenesis related family protein
AT3G01328	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT3G01328	ECA1-like gametogenesis related family protein
AT3G01329	4	2	0	1	0.582	0.276	0	0.133	0.429	0.0665	-2.689551402	0.239068192	0.692628867	AT3G01329	ECA1-like gametogenesis related family protein
AT3G01330	82	79	140	93	2.784	2.548	4.243	2.886	2.666	3.5645	0.419022941	0.607779344	0.952658594	DEL3	DP-E2F-like protein 3
AT3G01331	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT3G01331	ECA1 gametogenesis related family protein
AT3G01340	1087	1171	1306	1209	42.345	43.337	45.415	43.058	42.841	44.2365	0.046245088	0.233140865	0.685045761	AT3G01340	Transducin/WD40 repeat-like superfamily protein
AT3G01345	2	1	8	4	0.06	0.028	0.213	0.109	0.044	0.161	1.871485259	0.324579426	0.791291414	AT3G01345	uncharacterized protein
AT3G01350	59	51	38	55	1.577	1.298	0.914	1.339	1.4375	1.1265	-0.351714642	0.212136557	0.655290565	AT3G01350	Major facilitator superfamily protein
AT3G01360	195	201	268	237	7.573	7.596	9.38	8.397	7.5845	8.8885	0.228885899	0.962699859	0.991816774	AT3G01360	plant viral-response family protein (DUF716)
AT3G01370	1874	2245	2800	2976	26.733	30.426	35.658	38.799	28.5795	37.2285	0.381426812	0.295819888	0.760450216	CFM2	CRM family member 2
AT3G01380	300	328	415	416	4.189	4.321	5.149	5.276	4.255	5.2125	0.292816347	0.738582119	0.96166008	AT3G01380	sulfatase and phosphatidylinositolglycan class N domain-containing protein
AT3G01390	2249	2119	2182	2038	139.556	124.788	120.739	115.351	132.172	118.045	-0.163079646	0.013402387	0.113628141	VMA10	vacuolar membrane ATPase 10
AT3G01400	209	218	204	194	6.515	6.456	5.677	5.527	6.4855	5.602	-0.21127582	0.068981011	0.34707474	AT3G01400	ARM repeat superfamily protein
AT3G01410	99	147	150	163	3.41	4.752	4.581	5.101	4.081	4.841	0.246382384	0.952976629	0.989892204	AT3G01410	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
AT3G01415	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT3G01415	tubulin-tyrosine ligase
AT3G01420	36	25	158	227	0.739	0.487	2.894	4.257	0.613	3.5755	2.544186024	2.31E-08	0.00000216	DOX1	Peroxidase superfamily protein
AT3G01430	167	196	254	229	6.961	7.761	9.451	8.723	7.361	9.087	0.303902308	0.756778072	0.964794294	AT3G01430	NHL domain protein
AT3G01435	93	101	158	158	4.811	4.99	7.276	7.474	4.9005	7.375	0.589714094	0.214922512	0.658059244	AT3G01435	uncharacterized protein
AT3G01440	529	543	663	639	25.687	25.049	28.74	28.357	25.368	28.5485	0.170405163	0.737303291	0.961258492	PnsL3	PsbQ-like 1
AT3G01450	86	112	97	83	2.773	3.422	2.792	2.446	3.0975	2.619	-0.242088223	0.170235128	0.587213611	AT3G01450	ARM repeat superfamily protein
AT3G01460	446	495	630	650	3.025	3.19	3.815	4.029	3.1075	3.922	0.335835144	0.547501211	0.934843275	MBD9	methyl-CPG-binding domain 9
AT3G01470	1286	1233	1650	1759	42.843	39.026	49.086	53.552	40.9345	51.319	0.326175785	0.557218181	0.935995385	HB-1	homeobox 1
AT3G01475	0	0	4	1	0	0	0.485	0.16	0.001	0.3225	8.33315535	0.306386355	0.772543919	AT3G01475	uncharacterized protein
AT3G01480	5530	6698	5978	6354	149.072	171.553	143.848	156.565	160.3125	150.2065	-0.093939676	0.022267164	0.163756142	CYP38	cyclophilin 38
AT3G01490	990	1344	1340	1512	24.702	31.86	29.692	34.563	28.281	32.1275	0.183975588	0.824046921	0.966194613	AT3G01490	Protein kinase superfamily protein
AT3G01500	99051	94250	67121	70930	2746.829	2481.217	1669.775	1793.072	2614.023	1731.4235	-0.594313189	9.48E-09	0.000000973	CA1	carbonic anhydrase 1
AT3G01510	737	687	709	732	16.088	14.179	14.662	15.321	15.1335	14.9915	-0.013600944	0.074363368	0.363587338	LSF1	uncharacterized protein
AT3G01513	2	0	0	1	0.111	0	0	0.051	0.0555	0.0255	-1.121990524	0.718655469	0.958433792	AT3G01513	uncharacterized protein
AT3G01516	1	2	0	2	0.039	0.073	0	0.071	0.056	0.0355	-0.657607803	0.742867237	0.96166008	AT3G01516	uncharacterized protein
AT3G01520	773	883	980	1014	36.215	39.302	40.987	43.416	37.7585	42.2015	0.160492826	0.66813993	0.958433792	AT3G01520	Adenine nucleotide alpha hydrolases-like superfamily protein
AT3G01530	0	1	0	0	0	0.03	0	0	0.015	0.001	-3.906890596	0.724144815	0.958433792	MYB57	myb domain protein 57
AT3G01540	3594	4450	5676	5679	72.962	85.913	102.935	105.402	79.4375	104.1685	0.391026955	0.250541721	0.709553426	DRH1	DEAD box RNA helicase 1
AT3G01550	730	496	450	331	22.292	14.429	12.311	9.244	18.3605	10.7775	-0.768582785	0.000562277	0.010078839	PPT2	phosphoenolpyruvate (pep)/phosphate translocator 2
AT3G01560	638	673	862	865	14.406	14.451	17.39	17.809	14.4285	17.5995	0.286613119	0.720008762	0.958433792	AT3G01560	proline-rich receptor-like kinase, putative (DUF1421)
AT3G01570	3	0	31	22	0.177	0	1.631	1.185	0.0885	1.408	3.991826069	0.002223508	0.029589373	AT3G01570	Oleosin family protein
AT3G01572	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT3G01572	uncharacterized protein
AT3G01580	6	10	42	49	0.122	0.194	0.765	0.914	0.158	0.8395	2.409605767	0.001538104	0.022131715	AT3G01580	Tetratricopeptide repeat (TPR)-like superfamily protein
AT3G01590	407	462	436	456	12.219	13.224	11.694	12.511	12.7215	12.1025	-0.071963696	0.114676148	0.471814422	AT3G01590	Galactose mutarotase-like superfamily protein
AT3G01600	17	16	78	72	0.473	0.423	1.937	1.83	0.448	1.8835	2.071845396	0.000295867	0.005979661	NAC044	NAC domain containing protein 44
AT3G01610	263	301	383	403	4.748	5.007	6.178	6.658	4.8775	6.418	0.395981917	0.490975372	0.910354688	CDC48C	cell division cycle 48C
AT3G01620	0	9	3	3	0	0.267	0.084	0.086	0.1335	0.085	-0.651304996	0.654278429	0.958433792	AT3G01620	beta-1,4-N-acetylglucosaminyltransferase family protein
AT3G01630	7	9	8	7	0.179	0.206	0.172	0.154	0.1925	0.163	-0.239986481	0.685859904	0.958433792	AT3G01630	Major facilitator superfamily protein
AT3G01640	617	652	746	638	21.465	21.549	23.169	20.285	21.507	21.727	0.014682687	0.242350207	0.697756223	GLCAK	glucuronokinase G
AT3G01650	288	352	422	404	6.665	7.722	8.687	8.497	7.1935	8.592	0.256300108	0.870465073	0.977154914	RGLG1	RING domain ligase1
AT3G01660	100	146	156	196	3.528	4.893	4.913	6.319	4.2105	5.616	0.415551371	0.552710462	0.935995385	AT3G01660	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
AT3G01670	251	314	341	350	4.393	5.221	5.328	5.598	4.807	5.463	0.18455662	0.841643851	0.972804198	SEOa	sieve element occlusion protein
AT3G01680	368	357	500	571	6.65	6.129	8.065	9.429	6.3895	8.747	0.453085254	0.279795553	0.744676748	SEOR1	sieve element occlusion amino-terminus protein
AT3G01690	2572	2684	3406	3768	66.303	65.734	78.383	88.772	66.0185	83.5775	0.340244245	0.449732109	0.889259007	AT3G01690	alpha/beta-Hydrolases superfamily protein
AT3G01700	0	0	0	1	0	0	0	0.058	0.001	0.029	4.857980995	0.824680889	0.966194613	AGP11	arabinogalactan protein 11
AT3G01710	123	134	187	185	3.791	4.07	5.018	5.318	3.9305	5.168	0.39489322	0.46801796	0.898946388	AT3G01710	TPX2 (targeting protein for Xklp2) protein family
AT3G01720	291	421	515	551	4.603	6.326	7.272	7.965	5.4645	7.6185	0.479417479	0.262256272	0.72399836	AT3G01720	peptidyl serine alpha-galactosyltransferase
AT3G01730	2	0	0	0	0.176	0	0	0	0.088	0.001	-6.459431619	0.560911225	0.935995385	AT3G01730	uncharacterized protein
AT3G01740	353	404	465	495	9.979	10.851	11.735	12.789	10.415	12.262	0.23553147	0.972996703	0.993820006	AT3G01740	Mitochondrial ribosomal protein L37
AT3G01750	82	119	167	146	1.48	2.039	2.675	2.394	1.7595	2.5345	0.52653565	0.335224956	0.801040737	AT3G01750	Ankyrin repeat family protein
AT3G01760	0	1	0	0	0	0.031	0	0	0.0155	0.001	-3.95419631	0.724144815	0.958433792	AT3G01760	Transmembrane amino acid transporter family protein
AT3G01770	545	591	877	868	10.773	11.094	15.469	15.704	10.9335	15.5865	0.511541696	0.089944618	0.407872027	BET10	bromodomain and extraterminal domain protein 10
AT3G01780	986	1047	1347	1423	11.658	11.714	14.181	15.372	11.686	14.7765	0.338523395	0.481108325	0.905224455	TPLATE	ARM repeat superfamily protein
AT3G01790	404	451	750	672	17.985	17.976	29.392	26.744	17.9805	28.068	0.642493128	0.030404642	0.203589977	AT3G01790	Ribosomal protein L13 family protein
AT3G01800	115	126	302	306	4.057	4.223	9.51	9.865	4.14	9.6875	1.226493638	0.0000556	0.001511269	AT3G01800	Ribosome recycling factor
AT3G01810	1435	1284	1088	1021	19.539	16.717	13.194	12.643	18.128	12.9185	-0.488781202	0.0000687	0.001796876	AT3G01810	EEIG1/EHBP1 protein amino-terminal domain protein
AT3G01820	576	393	493	276	19.937	12.924	15.234	8.731	16.4305	11.9825	-0.455447444	0.044665417	0.264464177	AT3G01820	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT3G01830	532	405	524	236	32.56	24.796	27.159	13.912	28.678	20.5355	-0.48182434	0.081620145	0.38539156	AT3G01830	Calcium-binding EF-hand family protein
AT3G01840	14	6	10	13	0.342	0.141	0.218	0.291	0.2415	0.2545	0.075642467	0.870990926	0.977199002	LYK2	Protein kinase superfamily protein
AT3G01850	370	549	621	673	14.861	20.846	21.474	24.174	17.8535	22.824	0.354344724	0.459512771	0.894423039	AT3G01850	Aldolase-type TIM barrel family protein
AT3G01860	319	352	434	572	10.938	11.747	13.381	18.15	11.3425	15.7655	0.475032266	0.280833703	0.745813801	AT3G01860	uncharacterized protein
AT3G01870	2	3	2	3	0.046	0.065	0.041	0.063	0.0555	0.052	-0.093976148	0.854232747	0.974659124	AT3G01870	hypothetical protein (DUF946)
AT3G01880	0	0	1	0	0	0	0.024	0	0.001	0.012	3.584962501	0.825441365	0.966194613	AT3G01880	vacuolar sorting-associated protein (DUF946)
AT3G01890	123	158	229	220	2.946	3.595	4.896	4.816	3.2705	4.856	0.570257207	0.195031202	0.628155483	AT3G01890	SWIB/MDM2 domain superfamily protein
AT3G01900	2	0	0	1	0.051	0	0	0.023	0.0255	0.0115	-1.148863386	0.718655469	0.958433792	CYP94B2	cytochrome P450, family 94, subfamily B, polypeptide 2
AT3G01910	2484	2648	2709	2687	76.218	77.197	74.134	75.717	76.7075	74.9255	-0.033910836	0.048661113	0.278415024	SOX	sulfite oxidase
AT3G01920	460	479	586	520	19.13	18.91	21.747	19.732	19.02	20.7395	0.124863867	0.58498542	0.940575129	AT3G01920	DHBP synthase RibB-like alpha/beta domain-containing protein
AT3G01930	300	324	450	414	7.433	7.622	10.052	9.253	7.5275	9.6525	0.358731846	0.514350502	0.919300743	AT3G01930	Major facilitator superfamily protein
AT3G01940	14	15	23	23	0.816	0.831	1.197	1.225	0.8235	1.211	0.55635831	0.641598821	0.958433792	AT3G01940	transmembrane protein, putative (DUF 3339)
AT3G01950	3	28	24	24	0.298	2.307	1.859	1.944	1.3025	1.9015	0.545854566	0.730978073	0.959518374	AT3G01950	peroxidase (DUF 3339)
AT3G01960	63	41	92	72	2.142	1.346	2.821	2.246	1.744	2.5335	0.538731789	0.497647962	0.913573419	AT3G01960	uncharacterized protein
AT3G01961	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT3G01961	uncharacterized protein
AT3G01970	12	22	50	75	0.424	0.738	1.576	2.42	0.581	1.998	1.781946514	0.007878877	0.076305031	WRKY45	WRKY DNA-binding protein 45
AT3G01980	427	413	448	454	13.642	12.532	12.83	13.553	13.087	13.1915	0.011474203	0.225106243	0.673620755	AT3G01980	NAD(P)-binding Rossmann-fold superfamily protein
AT3G01990	42	31	45	27	0.902	0.598	1.057	0.626	0.75	0.8415	0.166072676	0.516199421	0.919300743	ACR6	ACT domain repeat 6
AT3G02000	0	0	3	6	0	0	0.153	0.319	0.001	0.236	7.882643049	0.107408516	0.453539382	ROXY1	Thioredoxin superfamily protein
AT3G02010	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT3G02010	Pentatricopeptide repeat (PPR) superfamily protein
AT3G02020	1175	884	740	729	11.04	7.891	6.207	6.26	9.4655	6.2335	-0.602636278	0.000224855	0.004758683	AK3	aspartate kinase 3
AT3G02030	86	110	150	137	1.918	2.368	2.974	2.81	2.143	2.892	0.432435702	0.484316549	0.906457061	AT3G02030	transferase
AT3G02040	393	479	587	844	12.369	14.316	16.483	24.274	13.3425	20.3785	0.611018852	0.115332109	0.473306488	SRG3	senescence-related gene 3
AT3G02050	1063	1139	1163	1213	18.331	18.66	17.904	19.117	18.4955	18.5105	0.001169563	0.133784178	0.515212355	KUP3	K+ uptake transporter 3
AT3G02060	525	620	1207	1332	8.593	9.667	17.659	19.956	9.13	18.8075	1.042621325	0.0000018	0.0000881	AT3G02060	DEAD/DEAH box helicase
AT3G02065	318	353	469	492	8.327	8.791	10.913	11.748	8.559	11.3305	0.404697374	0.351853303	0.816948622	AT3G02065	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT3G02070	243	282	410	286	10.208	11.255	15.376	10.98	10.7315	13.178	0.296279688	0.788842463	0.966194613	AT3G02070	Cysteine proteinases superfamily protein
AT3G02080	3395	3541	5391	4587	180.168	178.53	255.403	222.471	179.349	238.937	0.413860575	0.225173501	0.673620755	AT3G02080	Ribosomal protein S19e family protein
AT3G02090	5087	5344	6661	6560	118.01	117.78	137.947	139.08	117.895	138.5135	0.232524059	0.981565613	0.996080605	MPPBETA	Insulinase (Peptidase family M16) protein
AT3G02100	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT3G02100	UDP-Glycosyltransferase superfamily protein
AT3G02110	1270	1134	1521	1524	33.403	28.336	35.713	36.633	30.8695	36.173	0.228731137	0.986457807	0.99724874	scpl25	serine carboxypeptidase-like 25
AT3G02120	249	365	442	487	19.455	27.094	30.83	34.775	23.2745	32.8025	0.495055597	0.257075899	0.717122727	AT3G02120	hydroxyproline-rich glycoprotein family protein
AT3G02125	3	1	3	2	0.102	0.032	0.091	0.062	0.067	0.0765	0.191298652	0.982341996	0.996308721	AT3G02125	pinin-like protein
AT3G02130	970	975	1343	1175	11.125	10.784	13.822	12.439	10.9545	13.1305	0.261398218	0.84911064	0.973862909	RPK2	receptor-like protein kinase 2
AT3G02140	169	141	151	165	4.467	3.541	3.563	3.986	4.004	3.7745	-0.085156428	0.280944008	0.745910569	TMAC2	AFP2 (ABI five-binding protein 2) family protein
AT3G02150	283	310	234	314	7.617	7.95	5.616	7.789	7.7835	6.7025	-0.215719722	0.071858533	0.355537261	PTF1	plastid transcription factor 1
AT3G02160	50	38	34	45	1.495	1.046	0.875	1.227	1.2705	1.051	-0.273633706	0.324865065	0.791600502	AT3G02160	Bromodomain transcription factor
AT3G02170	799	1241	937	1437	11.022	16.254	11.542	18.118	13.638	14.83	0.120886508	0.693181684	0.958433792	LNG2	longifolia2
AT3G02180	1646	1742	1982	1962	104.235	105.711	113.652	116.916	104.973	115.284	0.135173997	0.396717939	0.852666737	SP1L3	SPIRAL1-like3
AT3G02190	232	266	341	369	20.236	22.043	26.553	29.415	21.1395	27.984	0.40466094	0.417894139	0.86614731	AT3G02190	Ribosomal protein L39 family protein
AT3G02200	947	1088	1491	1333	27.719	30.255	38.96	35.659	28.987	37.3095	0.364136996	0.392361734	0.848562277	AT3G02200	Proteasome component (PCI) domain protein
AT3G02210	75	75	70	76	1.881	1.787	1.567	1.742	1.834	1.6545	-0.148598347	0.306252226	0.772543919	COBL1	COBRA-like protein 1 precursor
AT3G02220	426	473	765	732	19.298	20.357	30.938	30.306	19.8275	30.622	0.627065729	0.022791541	0.166766493	AT3G02220	small acidic-like protein
AT3G02230	1811	1610	2144	1901	55.444	46.828	58.598	53.189	51.136	55.8935	0.128341205	0.564315722	0.937305832	RGP1	reversibly glycosylated polypeptide 1
AT3G02240	0	9	4	12	0	0.555	0.232	0.712	0.2775	0.472	0.766299088	0.742625825	0.96166008	RGF7	root meristem growth factor-like protein
AT3G02242	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT3G02242	root meristem growth factor-like protein
AT3G02245	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT3G02245	uncharacterized protein
AT3G02250	736	828	1069	1026	13.314	14.23	17.263	16.962	13.772	17.1125	0.313312455	0.592210061	0.944459322	AT3G02250	O-fucosyltransferase family protein
AT3G02255	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT3G02255	uncharacterized protein
AT3G02260	2212	2462	3243	3083	6.815	7.223	8.932	8.685	7.019	8.8085	0.32763086	0.464742907	0.896937886	BIG	auxin transport protein (BIG)
AT3G02270	0	4	0	0	0	0.09	0	0	0.045	0.001	-5.491853096	0.366250014	0.828635298	AT3G02270	Trimeric LpxA-like enzyme
AT3G02280	248	247	290	317	5.126	4.861	5.347	5.988	4.9935	5.6675	0.182661115	0.839507219	0.972083893	AT3G02280	Flavodoxin family protein
AT3G02290	217	237	233	219	6.172	6.356	6.458	5.708	6.264	6.083	-0.042301208	0.141154712	0.531416175	AT3G02290	RING/U-box superfamily protein
AT3G02300	782	826	900	925	19.17	19.237	19.696	20.723	19.2035	20.2095	0.07366435	0.331155654	0.79837391	AT3G02300	Regulator of chromosome condensation (RCC1) family protein
AT3G02310	1	0	0	1	0.032	0	0	0.029	0.016	0.0145	-0.142019005	0.933415406	0.986425089	45537	K-box region and MADS-box transcription factor family protein
AT3G02320	225	234	277	282	4.851	4.793	5.332	5.557	4.822	5.4445	0.175167913	0.808559188	0.966194613	AT3G02320	N2,N2-dimethylguanosine tRNA methyltransferase
AT3G02330	15	27	87	72	0.249	0.426	1.29	1.093	0.3375	1.1915	1.819819544	0.001776564	0.024883703	AT3G02330	Pentatricopeptide repeat (PPR) superfamily protein
AT3G02340	308	334	289	333	9.91	10.21	8.301	9.792	10.06	9.0465	-0.153198664	0.078233621	0.374638022	AT3G02340	RING/U-box superfamily protein
AT3G02350	1245	1370	1522	1388	24.152	25.249	26.358	24.608	24.7005	25.483	0.044994884	0.226229844	0.675495732	GAUT9	galacturonosyltransferase 9
AT3G02360	1618	1700	1597	1516	39.709	39.637	34.985	33.999	39.673	34.492	-0.20189571	0.003054049	0.037716645	AT3G02360	6-phosphogluconate dehydrogenase family protein
AT3G02370	54	72	91	102	2.26	2.576	3.39	3.759	2.418	3.5745	0.563927208	0.447228818	0.88794793	AT3G02370	tRNA-splicing endonuclease subunit
AT3G02380	689	479	204	244	14.645	9.672	3.864	4.745	12.1585	4.3045	-1.498047681	7.73E-10	0.000000109	COL2	CONSTANS-like 2
AT3G02390	3	2	3	6	0.341	0.216	0.308	0.577	0.2785	0.4425	0.668000128	0.753694293	0.964297625	AT3G02390	uncharacterized protein
AT3G02400	119	128	169	145	2.649	2.707	3.371	2.965	2.678	3.168	0.242416375	0.978199892	0.995586881	AT3G02400	SMAD/FHA domain-containing protein
AT3G02410	13	14	14	20	0.405	0.447	0.421	0.512	0.426	0.4665	0.131023651	0.995150172	0.99863098	ICME-LIKE2	alpha/beta-Hydrolases superfamily protein
AT3G02420	375	396	571	556	11.728	11.741	15.926	15.891	11.7345	15.9085	0.439041441	0.259915116	0.720795208	AT3G02420	dihydroflavonol 4-reductase/flavanone protein
AT3G02430	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT3G02430	transmembrane protein, putative (DUF679)
AT3G02440	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	TBL20	TRICHOME BIREFRINGENCE-LIKE 20
AT3G02450	826	988	1438	1449	17.088	19.418	26.557	27.396	18.253	26.9765	0.563569582	0.031620471	0.209015906	AT3G02450	cell division protein ftsH
AT3G02460	301	324	408	364	7.043	7.183	8.333	7.391	7.113	7.862	0.1444382	0.871560451	0.97727862	AT3G02460	Ypt/Rab-GAP domain of gyp1p superfamily protein
AT3G02470	19365	20375	22475	21112	516.276	516.064	534.905	514.398	516.17	524.6515	0.023513136	0.10760335	0.454099686	SAMDC	S-adenosylmethionine decarboxylase
AT3G02480	560	37	86	9	48.846	3.066	6.697	0.717	25.956	3.707	-2.807744051	0.111003768	0.462167009	AT3G02480	Late embryogenesis abundant protein (LEA) family protein
AT3G02490	109	118	194	187	2.136	2.197	3.394	3.349	2.1665	3.3715	0.638024361	0.137576228	0.523171242	AT3G02490	Pentatricopeptide repeat (PPR) superfamily protein
AT3G02493	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	RTFL19	ROTUNDIFOLIA like 19
AT3G02500	62	55	32	38	2.529	2.177	1.143	1.438	2.353	1.2905	-0.866571179	0.019667228	0.150356408	AT3G02500	mental retardation GTPase activating protein
AT3G02510	290	204	255	240	8.471	5.745	6.718	6.389	7.108	6.5535	-0.117178075	0.234168513	0.686298912	AT3G02510	Regulator of chromosome condensation (RCC1) family protein
AT3G02515	1	2	0	3	0.055	0.105	0	0.15	0.08	0.075	-0.093109404	0.902953346	0.985295315	-	-
AT3G02520	1172	1239	1410	1377	38.405	38.573	41.248	41.239	38.489	41.2435	0.099720579	0.381918388	0.842723801	GRF7	general regulatory factor 7
AT3G02530	822	897	1269	1105	19.302	20.011	26.602	23.714	19.6565	25.158	0.356010775	0.442934729	0.884803356	AT3G02530	TCP-1/cpn60 chaperonin family protein
AT3G02540	1819	2022	1916	2033	48.345	51.33	45.731	49.684	49.8375	47.7075	-0.063015613	0.037562086	0.234965641	RAD23C	Rad23 UV excision repair protein family
AT3G02550	654	826	1253	707	20.71	24.85	35.421	20.461	22.78	27.941	0.294615908	0.801751359	0.966194613	LBD41	LOB domain-containing protein 41
AT3G02555	128	136	182	190	5.966	5.977	7.594	8.146	5.9715	7.87	0.398270264	0.561540384	0.936214298	AT3G02555	uncharacterized protein
AT3G02560	1454	1640	2485	2162	76.07	81.515	115.967	103.347	78.7925	109.657	0.476867694	0.106337101	0.451407222	AT3G02560	Ribosomal protein S7e family protein
AT3G02570	1281	1264	1528	1442	39.906	37.409	42.494	41.054	38.6575	41.774	0.111856952	0.450205865	0.889709895	MEE31	Mannose-6-phosphate isomerase, type I
AT3G02580	558	596	642	678	19.314	19.599	19.838	21.448	19.4565	20.643	0.08540044	0.406726797	0.858653688	STE1	sterol 1
AT3G02590	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT3G02590	Fatty acid hydroxylase superfamily protein
AT3G02600	733	870	1117	1129	19.556	22.648	27.901	28.763	21.102	28.332	0.425052707	0.344948828	0.810236767	LPP3	lipid phosphate phosphatase 3
AT3G02610	16	10	27	21	0.621	0.316	0.906	0.745	0.4685	0.8255	0.817219167	0.477364333	0.904022347	AT3G02610	plant stearoyl-acyl-carrier desaturase family protein
AT3G02620	11	15	21	30	0.384	0.498	0.655	0.958	0.441	0.8065	0.870895878	0.37773551	0.839548057	AT3G02620	Plant stearoyl-acyl-carrier-protein desaturase family protein
AT3G02630	777	984	1220	1293	22.308	26.839	31.269	33.926	24.5735	32.5975	0.407657969	0.289290116	0.754705235	AT3G02630	Plant stearoyl-acyl-carrier-protein desaturase family protein
AT3G02640	430	568	782	759	22.472	28.201	36.483	36.25	25.3365	36.3665	0.521392841	0.122821547	0.488557653	AT3G02640	uncharacterized protein
AT3G02645	1	5	0	2	0.027	0.129	0	0.05	0.078	0.025	-1.641546029	0.427861839	0.874068676	AT3G02645	transmembrane protein, putative (DUF247)
AT3G02650	189	229	450	464	4.334	4.989	9.212	9.725	4.6615	9.4685	1.022341625	0.000207344	0.004440764	AT3G02650	Tetratricopeptide repeat (TPR)-like superfamily protein
AT3G02660	422	526	679	687	11.368	13.458	16.329	16.898	12.413	16.6135	0.42050421	0.295304566	0.759377984	EMB2768	Tyrosyl-tRNA synthetase, class Ib, bacterial/mitochondrial
AT3G02670	5	2	3	3	0.283	0.108	0.152	0.155	0.1955	0.1535	-0.348929952	0.71782134	0.958433792	AT3G02670	Glycine-rich protein family
AT3G02673	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT3G02673	uncharacterized protein
